iter	Passed	Remaining
550	2551	2079
551	2555	2073
552	2558	2068
553	2562	2063
554	2566	2057
555	2570	2052
556	2573	2046
557	2577	2041
558	2580	2036
559	2584	2030
560	2587	2025
561	2591	2019
562	2595	2014
563	2598	2008
564	2602	2003
565	2606	1998
566	2609	1992
567	2613	1987
568	2616	1982
569	2620	1976
570	2624	1971
571	2627	1965
572	2631	1960
573	2635	1955
574	2639	1950
575	2642	1945
576	2646	1939
577	2649	1934
578	2653	1929
579	2656	1923
580	2660	1918
581	2663	1913
582	2667	1907
583	2671	1902
584	2673	1896
585	2676	1891
586	2680	1886
587	2683	1880
588	2687	1875
589	2691	1870
590	2695	1865
591	2698	1859
592	2702	1854
593	2705	1849
594	2709	1844
595	2713	1839
596	2717	1834
597	2721	1829
598	2724	1824
599	2728	1818
600	2732	1814
601	2735	1808
602	2739	1803
603	2743	1798
604	2747	1794
605	2751	1789
606	2755	1784
607	2758	1778
608	2761	1773
609	2765	1767
610	2769	1762
611	2772	1757
612	2776	1753
613	2780	1748
614	2784	1743
615	2787	1737
616	2792	1733
617	2796	1728
618	2800	1723
619	2804	1718
620	2807	1713
621	2811	1708
622	2814	1703
623	2818	1698
624	2822	1693
625	2825	1688
626	2829	1683
627	2832	1678
628	2836	1673
629	2839	1667
630	2843	1662
631	2847	1657
632	2851	1652
633	2854	1647
634	2858	1642
635	2861	1637
636	2865	1632
637	2869	1627
638	2872	1623
639	2876	1618
640	2880	1613
641	2883	1607
642	2887	1603
643	2891	1598
644	2894	1593
645	2897	1587
646	2900	1582
647	2904	1577
648	2907	1572
649	2911	1567
650	2914	1562
651	2918	1557
652	2922	1553
653	2926	1548
654	2929	1543
655	2932	1538
656	2936	1533
657	2940	1528
658	2944	1523
659	2947	1518
660	2951	1513
661	2954	1508
662	2958	1503
663	2961	1498
664	2965	1494
665	2969	1489
666	2972	1484
667	2976	1479
668	2980	1474
669	2983	1469
670	2987	1464
671	2991	1460
672	2995	1455
673	2999	1450
674	3002	1445
675	3006	1440
676	3010	1436
677	3013	1430
678	3016	1426
679	3020	1421
680	3024	1416
681	3027	1411
682	3031	1406
683	3034	1402
684	3038	1397
685	3042	1392
686	3045	1387
687	3049	1382
688	3053	1378
689	3057	1373
690	3060	1368
691	3064	1364
692	3068	1359
693	3071	1354
694	3075	1349
695	3079	1344
696	3082	1340
697	3086	1335
698	3089	1330
699	3093	1325
700	3097	1321
701	3101	1316
702	3104	1311
703	3108	1306
704	3111	1302
705	3115	1297
706	3119	1292
707	3122	1287
708	3126	1283
709	3129	1278
710	3133	1273
711	3137	1269
712	3140	1264
713	3144	1259
714	3148	1254
715	3152	1250
716	3155	1245
717	3159	1240
718	3162	1235
719	3165	1231
720	3169	1226
721	3174	1222
722	3178	1217
723	3182	1213
724	3185	1208
725	3189	1203
726	3192	1198
727	3196	1194
728	3199	1189
729	3203	1184
730	3206	1180
731	3210	1175
732	3214	1170
733	3218	1166
734	3221	1161
735	3225	1156
736	3229	1152
737	3233	1147
738	3236	1143
739	3239	1138
740	3243	1133
741	3247	1129
742	3250	1124
743	3253	1119
744	3257	1115
745	3261	1110
746	3264	1105
747	3267	1100
748	3271	1096
749	3275	1091
750	3279	1087
751	3282	1082
752	3286	1077
753	3289	1073
754	3293	1068
755	3296	1063
756	3300	1059
757	3304	1054
758	3307	1050
759	3311	1045
760	3314	1041
761	3318	1036
762	3321	1031
763	3325	1027
764	3328	1022
765	3332	1018
766	3336	1013
767	3339	1008
768	3343	1004
769	3346	999
770	3350	995
771	3353	990
772	3357	985
773	3361	981
774	3364	976
775	3368	972
776	3371	967
777	3375	963
778	3378	958
779	3382	953
780	3386	949
781	3389	945
782	3393	940
783	3396	935
784	3400	931
785	3404	926
786	3407	922
787	3410	917
788	3414	913
789	3418	908
790	3421	904
791	3425	899
792	3429	895
793	3432	890
794	3436	886
795	3439	881
796	3443	877
797	3447	872
798	3450	867
799	3453	863
800	3457	858
801	3461	854
802	3464	849
803	3467	845
804	3471	840
805	3475	836
806	3478	831
807	3481	827
808	3485	822
809	3489	818
810	3493	814
811	3496	809
812	3500	805
813	3504	800
814	3507	796
815	3510	791
816	3514	787
817	3518	782
818	3521	778
819	3525	773
820	3528	769
821	3532	765
822	3536	760
823	3539	756
824	3543	751
825	3546	747
826	3550	742
827	3553	738
828	3557	733
829	3561	729
830	3564	724
831	3568	720
832	3571	716
833	3575	711
834	3579	707
835	3583	702
836	3586	698
837	3590	694
838	3594	689
839	3597	685
840	3601	680
841	3604	676
842	3608	672
843	3611	667
844	3615	663
845	3618	658
846	3622	654
847	3626	650
848	3629	645
849	3633	641
850	3637	636
851	3640	632
852	3643	627
853	3647	623
